page	blob	order	pkg	name	note
1	Smart Home	11	ru.ufanet.smarthome		
1	Xiaomi / System Utilities	12	com.miui.calculator		
1	Xiaomi / System Utilities	12	com.miui.compass		
1	Xiaomi / System Utilities	12	com.miui.screenrecorder		
1	Xiaomi / System Utilities	12	com.android.deskclock		
1	Xiaomi / System Utilities	12	com.android.soundrecorder		
1	Xiaomi / System Utilities	12	com.xiaomi.calendar		
1	Xiaomi / System Utilities	12	com.xiaomi.midrop		
1	Xiaomi / System Utilities	12	com.xiaomi.scanner		
1	Xiaomi / System Utilities	12	app.lawnchair.play		
1	App Stores	13	com.aurora.store		
1	App Stores	13	ru.vk.store		
1	App Stores	13	com.huawei.appmarket		
1	App Stores	13	org.fdroid.fdroid		
1	Games	14	com.blackspoongames.hunting		
1	Games	14	team.nineone.openloop_app.stage		
1	Games	14	tech.aml.moneyrun		
2	Banking & Payments — Russia	1	ru.sberbankmobile		
2	Banking & Payments — Russia	1	ru.sberbank_sbbol		
2	Banking & Payments — Russia	1	ru.alfabank.mobile.android		
2	Banking & Payments — Russia	1	ru.alfadirect.app		
2	Banking & Payments — Russia	1	ru.tinkoff.investing		
2	Banking & Payments — Russia	1	ru.tinkoff.sme		
2	Banking & Payments — Russia	1	com.idamob.tinkoff.android		
2	Banking & Payments — Russia	1	ru.akbars.mobile		
2	Banking & Payments — Russia	1	ru.gazprombank.android.mobilebank.app		
2	Banking & Payments — Russia	1	ru.vtb24.mobilebanking.android		
2	Banking & Payments — Russia	1	ru.vtb.smb		
2	Banking & Payments — Russia	1	com.idamobile.android.crediteuropa		
2	Banking & Payments — Russia	1	ru.nspk.mir.loyalty		
2	Banking & Payments — Russia	1	ru.nspk.mirpay		
2	Banking & Payments — Russia	1	ru.nspk.sbpay		
2	Banking & Payments — Russia	1	ru.yoo.money		
2	Banking & Payments — Russia	1	ru.mw		
2	Banking & Payments — Russia	1	com.easypay_fssp		
2	Banking & Payments — Russia	1	ru.reso.osago		
2	Banking & Payments — Russia	1	ru.alfastrah.app		
2	Government & Official — Russia	2	ru.gosuslugi.auto		
2	Government & Official — Russia	2	ru.gosuslugi.goskey		
2	Government & Official — Russia	2	ru.gosuslugi.pos		
2	Government & Official — Russia	2	ru.altarix.mos.pgu		
2	Government & Official — Russia	2	ru.mosgorpass		
2	Government & Official — Russia	2	ru.fns.lkfl		
2	Government & Official — Russia	2	ru.sigma.gisgkh		
2	Government & Official — Russia	2	ru.technokad.digitalkey		
2	Government & Official — Russia	2	com.programmisty.emiasapp		
2	Taxi, Maps & Transit	3	am.ggtaxi.main		
2	Taxi, Maps & Transit	3	ru.dublgis.dgismobile		
2	Taxi, Maps & Transit	3	ru.yandex.taxi		
2	Taxi, Maps & Transit	3	ru.yandex.yandexmaps		
2	Taxi, Maps & Transit	3	ru.yandex.yandexnavi		
2	Taxi, Maps & Transit	3	ru.yandex.metro		
2	Taxi, Maps & Transit	3	ru.mosmetro.metro		
2	Taxi, Maps & Transit	3	ru.mosparking.appnew		
2	Taxi, Maps & Transit	3	com.google.android.apps.mapslite		
2	Taxi, Maps & Transit	3	net.osmand		
2	Taxi, Maps & Transit	3	net.osmand.plus		
2	Taxi, Maps & Transit	3	net.osmand.nauticalPlugin		
2	Taxi, Maps & Transit	3	com.carshering		
2	Taxi, Maps & Transit	3	ru.yandex.mobile.drive		
2	Taxi, Maps & Transit	3	ru.mos.app		
2	Taxi, Maps & Transit	3	ru.rzd.pass		
2	Taxi, Maps & Transit	3	ru.russianhighways.mobile		
2	Telecom / ISP — Russia	4	ru.mts.mymts		
2	Telecom / ISP — Russia	4	ru.yota.android		
2	Telecom / ISP — Russia	4	com.ertelecom.agent		
2	Telecom / ISP — Russia	4	com.dartit.RTcabinet		
2	Telecom / ISP — Russia	4	ru.rostel		
2	Telecom / ISP — Russia	4	ru.ufanet.myufanet		
2	Fuel	5	com.gpn.azs		
2	Fuel	5	ru.tatneft.gasstations		
2	Fuel	5	ru.yandex.mobile.gasstations		
2	Delivery & Fast Food	6	ru.dodopizza.app		
2	Delivery & Fast Food	6	ru.burgerking		
2	Delivery & Fast Food	6	ru.kfc.kfc_delivery		
2	Delivery & Fast Food	6	com.deliveryclub		
2	Delivery & Fast Food	6	pro.tdnm.gurmanica		
2	Delivery & Fast Food	6	com.tastycoffee.shop		
2	Delivery & Fast Food	6	ru.digipeople.pickpoint		
2	Delivery & Fast Food	6	ru.boxberry.mobile		
2	Delivery & Fast Food	6	com.logistic.sdek		
2	Delivery & Fast Food	6	ru.dpd.recipient		
2	Delivery & Fast Food	6	com.loyaltyplant.partner.subway		
2	Groceries & Retail Chains	7	ru.pyaterochka.app.browser		
2	Groceries & Retail Chains	7	ru.perekrestok.app		
2	Groceries & Retail Chains	7	ru.myauchan.droid		
2	Groceries & Retail Chains	7	ru.myspar		
2	Groceries & Retail Chains	7	ru.globus.app		
2	Groceries & Retail Chains	7	ru.tander.magnit		
2	Groceries & Retail Chains	7	ru.av.vkusomania		
2	Groceries & Retail Chains	7	ru.vkusvill		
2	Groceries & Retail Chains	7	com.icemobile.lenta.prod		
2	Groceries & Retail Chains	7	ru.x5.omni		
2	Groceries & Retail Chains	7	club.chizhik		
2	Groceries & Retail Chains	7	ru.apteka		
2	Groceries & Retail Chains	7	ru.getpharma.eapteka		
2	Groceries & Retail Chains	7	com.apteka.sklad		
2	Marketplaces & Shopping	8	ru.beru.android		
2	Marketplaces & Shopping	8	com.wildberries.ru		
2	Marketplaces & Shopping	8	ru.aliexpress.buyer		
2	Marketplaces & Shopping	8	com.avito.android		
2	Marketplaces & Shopping	8	com.lamoda.lite		
2	Marketplaces & Shopping	8	goldapple.ru.goldapple.customers		
2	Marketplaces & Shopping	8	com.gipfel.ecommers		
2	Marketplaces & Shopping	8	com.tradeinnsl		
2	Marketplaces & Shopping	8	ru.ostin.android.app		
3	Banking — KZ/KG	1	kg.bta.mobilebank2		
3	Banking — KZ/KG	1	kz.kaspi.mobile		
3	Banking — KZ/KG	1	com.maanavan.mb_kyrgyzstan		
3	Banking — KZ/KG	1	kg.beeline.odp		
3	Banking — KZ/KG	1	kz.beeline.odp		
3	Banking — KZ/KG	1	com.intervale.baitushum		
3	Marketplaces & Shopping — KZ/KG	2	com.kazanexpress.ke_app		
3	Government — KZ/KG	3	kz.mobile.mgov		
3	Government — KZ/KG	3	kz.mobile.mgov.business		
dock		1	com.google.android.dialer		Phone
dock		2	com.google.android.apps.messaging		SMS/Messages
dock		3	com.android.chrome		Browser
dock	Messengers	1	chat.delta		Signal (only real messenger found — flag if you use another)
dock	LLM Assistants	4	com.google.android.apps.bard		Gemini — newly found
1	Photos	1	com.google.android.apps.photos		Google Photos
1	Photos	2	com.miui.gallery		MIUI Gallery
1		1	com.google.android.contacts		Contacts — standalone, pairs with dock Phone/SMS
1	Mail	1	com.google.android.gm		Gmail
1	Mail	2	ru.yandex.mail		Yandex Mail
1	Productivity & Docs	2	ru.litres.android		Litres (ebooks)
1	Productivity & Docs	3	ru.livelib.client		LiveLib (book tracking)
1	Health & Fitness	8	com.google.android.healthconnect.controller		Health Connect
1	Smart Home	12	com.google.android.apps.chromecast.app		Google Home/Chromecast
1	Accounts & Security	10	com.xiaomi.finddevice		Xiaomi Find Device
1	VPNs	4	com.happproxy		second VPN app, review if still used
1	Travel & Airlines	9	ru.lynx.aero		Lynx Aero — review, unclear airline/booking app
2	Marketplaces & Shopping	9	ru.ozon.app.android		OZON — big miss, definitely belongs here
2	Marketplaces & Shopping	10	ru.sportmaster.app		Sportmaster
2	Real Estate	1	ru.yandex.mobile.realty		Yandex Realty
2	Real Estate	2	ru.cian.main		CIAN
2	Real Estate	3	ru.domclick.mortgage		DomClick
2	Real Estate	4	ru.domyland.a101android		A101 Domyland
2	Banking & Payments — Russia	2	ru.banki.banki		Banki.ru
2	Banking & Payments — Russia	3	ru.raiffeisennews		Raiffeisen
2	Taxi, Maps & Transit	4	ru.belkacar.belkacar		BelkaCar
2	Taxi, Maps & Transit	5	ru.gorparkovki.federal		federal parking
2	Taxi, Maps & Transit	6	ru.yandex.rasp		Yandex Rasp (train/bus schedules)
2	Taxi, Maps & Transit	7	com.yandex.mobile.drive		Yandex Drive — NOTE: different package id than existing ru.yandex.mobile.drive already on this page, possible duplicate/migrated app id, worth checking which one is actually installed/current
2	Fuel	6	ru.serebryakovas.lukoilmobileapp		Lukoil
2	Delivery & Fast Food	7	com.apegroup.mcdonaldsrussia		McDonald's Russia (Vkusno i tochka)
2	Delivery & Fast Food	8	com.octopod.russianpost.client.android		Russian Post
2	Groceries & Retail Chains	8	ru.aptechestvo.app		pharmacy chain
2	Jobs	1	ru.hh.android		HeadHunter
2	Jobs	2	ru.hh.employer.android		HeadHunter for Employers
1	Travel & Airlines	10	com.flyscat.scat		SCAT Airlines (Kazakhstan)
1	Health & Fitness	9	com.intvl.app		INTVL — territory running game, Strava sync
1	Health & Fitness	10	ru.rhr		Running Heroes Russia — race tracking
1	Photos	3	com.lemon.lvoverseas		CapCut video editor
2	Groceries & Retail Chains	9	com.platfomni.vita		Vita Pharmacy
3	Government — KZ/KG	4	com.qazeta		QazETA — Kazakhstan e-visa/e-resident app
2	Telecom / ISP — Russia	5	com.smartint.formula		Formula-Internet — ISP account app
2	Telecom / ISP — Russia	6	ru.netcraze.app		Netcraze — home router management
dock	Payment	6	org.montelibero.sunce		Sunce Wallet (Stellar crypto)
dock	Payment	7	atws.app		IBKR Mobile (Interactive Brokers)
2	Banking & Payments — Russia	4	ru.zhuck.webapp		Tochka Bank (business banking)
1	Review Later	2	com.kdfapp.prod		unidentified — no match found via search either
4		1	com.mrsapp.platform		your own app in dev — dedicated last page
